timestamp,950.000000 MHz (dBm),955.000000 MHz (dBm)
12:45:29,-86.161,-103.937
12:45:39,-89.437,-99.461
12:45:49,-88.121,-92.142
12:45:59,-86.079,-97.935
12:46:09,-89.361,-103.546
12:46:20,-93.280,-98.984
12:46:30,-91.126,-96.357
12:46:40,-88.014,-92.548
12:46:50,-88.748,-103.542
12:47:00,-94.940,-92.983
12:47:10,-96.018,-98.087
12:47:20,-103.474,-99.932
12:47:30,-99.262,-106.235
12:47:40,-93.778,-97.206
12:47:50,-97.663,-95.314
12:48:00,-84.467,-96.657
12:48:10,-87.236,-98.689
12:48:20,-93.978,-96.133
12:48:30,-91.250,-109.705
12:48:40,-87.849,-94.484
12:48:50,-93.748,-104.013
12:49:00,-91.880,-92.213
12:49:10,-86.725,-97.316
12:49:20,-86.566,-104.666
12:49:30,-91.669,-99.857
12:49:40,-85.069,-93.437
12:49:50,-111.277,-95.850
12:50:00,-82.043,-94.968
12:50:10,-104.318,-95.782
12:50:20,-90.075,-93.549
12:50:30,-95.383,-97.050
12:50:40,-98.241,-100.995
12:50:50,-84.934,-99.886
12:51:00,-95.016,-96.291
12:51:10,-92.275,-91.086
12:51:20,-94.276,-102.832
12:51:30,-85.521,-92.754
12:51:40,-87.980,-96.343
12:51:50,-107.186,-97.142
12:52:00,-85.056,-90.340
12:52:10,-89.645,-99.346
12:52:21,-84.968,-92.006
12:52:31,-89.227,-104.160
12:52:41,-86.922,-101.473
12:52:51,-84.572,-100.839
12:53:01,-92.637,-96.856
12:53:11,-86.186,-94.315
12:53:21,-90.967,-115.133
12:53:31,-91.810,-104.940
12:53:41,-83.037,-97.134
12:53:51,-91.482,-96.876
12:54:01,-93.983,-100.943
12:54:11,-87.706,-107.363
12:54:21,-87.518,-100.799
12:54:31,-84.892,-94.527
12:54:41,-84.998,-95.345
12:54:51,-90.999,-100.951
12:55:01,-97.909,-100.604
12:55:11,-92.179,-99.022
12:55:21,-87.353,-97.596
12:55:31,-89.579,-97.533
12:55:41,-88.518,-102.397
12:55:51,-92.095,-102.350
12:56:01,-83.905,-98.880
12:56:11,-84.849,-106.365
12:56:21,-91.327,-100.649
12:56:31,-93.403,-93.648
12:56:41,-91.328,-106.856
12:56:51,-87.238,-97.686
12:57:01,-86.071,-110.769
12:57:11,-91.384,-89.169
12:57:21,-87.415,-100.381
12:57:31,-86.924,-98.085
12:57:41,-83.442,-94.417
12:57:51,-87.802,-97.019
12:58:02,-94.956,-100.946
12:58:12,-92.518,-106.661
12:58:22,-91.673,-106.245
12:58:32,-101.888,-97.747
12:58:42,-90.397,-97.828
12:58:52,-78.299,-109.999
12:59:02,-86.783,-99.953
12:59:12,-90.978,-93.988
12:59:22,-83.654,-92.753
12:59:32,-83.919,-91.502
12:59:42,-98.105,-88.977
12:59:52,-89.673,-98.031
13:00:02,-83.835,-94.897
13:00:12,-93.347,-96.239
13:00:22,-103.157,-94.956
13:00:32,-85.010,-97.042
13:00:42,-87.748,-94.373
13:00:52,-86.626,-96.076
13:01:02,-88.424,-105.839
13:01:12,-87.065,-104.319
13:01:22,-83.087,-103.012
13:01:32,-90.684,-103.845
13:01:42,-91.662,-97.266
13:01:52,-92.913,-94.947
13:02:02,-80.893,-96.036
13:02:12,-89.991,-103.420
13:02:22,-87.939,-92.936
13:02:32,-95.820,-90.917
13:02:42,-85.327,-96.576
13:02:52,-93.529,-98.518
13:03:02,-88.104,-92.251
13:03:13,-87.943,-104.600
13:03:22,-90.832,-94.520
13:03:33,-84.632,-92.776
13:03:43,-89.571,-105.469
13:03:53,-103.560,-99.534
13:04:03,-88.798,-90.211
13:04:13,-84.928,-98.246
13:04:23,-82.732,-98.708
13:04:33,-90.878,-99.355
13:04:43,-98.519,-99.681
13:04:53,-92.717,-96.650
13:05:03,-93.146,-100.205
13:05:13,-85.087,-98.027
13:05:23,-92.706,-95.185
13:05:33,-86.278,-98.274
13:05:43,-88.001,-100.073
13:05:53,-89.975,-90.451
13:06:03,-85.048,-101.111
13:06:13,-87.944,-101.631
