timestamp,1000.000000 MHz (dBm),1004.000000 MHz (dBm)
14:48:13,-89.891,-99.311
14:48:23,-89.947,-99.187
14:48:33,-89.898,-99.067
14:48:43,-89.997,-99.045
14:48:53,-89.966,-99.000
14:49:03,-89.957,-98.970
14:49:13,-89.988,-98.858
14:49:23,-90.053,-98.856
14:49:33,-90.074,-98.885
14:49:43,-90.038,-98.899
14:49:53,-90.018,-98.882
14:50:03,-90.058,-98.870
14:50:13,-90.088,-98.885
14:50:23,-90.111,-98.863
14:50:33,-90.102,-98.871
14:50:43,-90.099,-98.857
14:50:53,-90.054,-98.835
14:51:03,-90.050,-98.854
14:51:13,-90.029,-98.862
14:51:23,-90.026,-98.870
14:51:34,-90.022,-98.873
14:51:44,-90.003,-98.885
14:51:54,-90.011,-98.908
14:52:04,-90.019,-98.914
14:52:14,-90.023,-98.919
14:52:24,-90.030,-98.923
14:52:34,-90.017,-98.933
14:52:44,-90.009,-98.931
14:52:54,-90.007,-98.932
14:53:04,-90.019,-98.935
14:53:14,-90.020,-98.927
14:53:24,-89.997,-98.924
14:53:34,-89.983,-98.925
14:53:44,-89.983,-98.938
14:53:54,-89.987,-98.939
14:54:04,-89.993,-98.950
14:54:14,-90.004,-98.944
14:54:24,-89.993,-98.955
14:54:34,-89.998,-98.966
14:54:44,-90.001,-98.966
14:54:54,-89.992,-98.963
14:55:04,-90.001,-98.966
14:55:14,-90.007,-98.956
14:55:24,-90.001,-98.950
14:55:34,-90.013,-98.959
14:55:44,-90.012,-98.950
14:55:54,-90.015,-98.945
14:56:04,-90.022,-98.951
14:56:14,-90.025,-98.949
14:56:24,-90.033,-98.950
14:56:34,-90.041,-98.950
14:56:44,-90.042,-98.954
14:56:54,-90.050,-98.944
14:57:04,-90.059,-98.953
14:57:14,-90.069,-98.951
14:57:24,-90.071,-98.955
14:57:34,-90.079,-98.945
14:57:44,-90.091,-98.938
14:57:54,-90.096,-98.945
14:58:04,-90.095,-98.946
14:58:14,-90.090,-98.945
14:58:24,-90.089,-98.946
14:58:34,-90.080,-98.942
14:58:44,-90.082,-98.931
14:58:54,-90.073,-98.940
14:59:04,-90.073,-98.929
14:59:14,-90.064,-98.932
14:59:24,-90.068,-98.935
14:59:35,-90.055,-98.936
14:59:45,-90.056,-98.941
14:59:55,-90.058,-98.937
15:00:05,-90.063,-98.939
15:00:15,-90.059,-98.936
15:00:25,-90.054,-98.935
15:00:35,-90.055,-98.941
15:00:45,-90.046,-98.940
15:00:55,-90.050,-98.940
15:01:05,-90.048,-98.947
15:01:15,-90.049,-98.952
15:01:25,-90.053,-98.952
15:01:35,-90.051,-98.953
15:01:45,-90.048,-98.944
15:01:55,-90.053,-98.945
15:02:05,-90.047,-98.947
15:02:15,-90.039,-98.946
15:02:25,-90.039,-98.951
15:02:35,-90.039,-98.947
15:02:45,-90.041,-98.949
15:02:55,-90.036,-98.950
15:03:05,-90.038,-98.945
15:03:15,-90.035,-98.949
15:03:25,-90.039,-98.951
15:03:35,-90.042,-98.952
15:03:45,-90.044,-98.954
15:03:55,-90.047,-98.955
15:04:05,-90.048,-98.957
15:04:15,-90.053,-98.956
15:04:25,-90.046,-98.951
15:04:35,-90.043,-98.958
15:04:45,-90.042,-98.958
15:04:55,-90.041,-98.960
15:05:05,-90.041,-98.960
15:05:15,-90.040,-98.960
15:05:25,-90.044,-98.965
